frame_idx,t_seconds,video_time,total_visible,main_visible,roi_backup_visible,car,motorcycle,bus,truck,track_ids
0,0.0,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
1,0.04,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
2,0.08,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
3,0.13,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
4,0.17,00:00,11,11,0,2,7,0,2,1|10|12|2|3|4|5|6|7|8|9
5,0.21,00:00,11,11,0,2,7,0,2,1|10|12|2|3|4|5|6|7|8|9
6,0.25,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
7,0.29,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
8,0.34,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
9,0.38,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
10,0.42,00:00,10,10,0,2,7,0,1,1|10|2|3|4|5|6|7|8|9
11,0.46,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
12,0.51,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
13,0.55,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
14,0.59,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
15,0.63,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
16,0.67,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
17,0.72,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
18,0.76,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
19,0.8,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
20,0.84,00:00,11,11,0,2,8,0,1,1|10|19|2|3|4|5|6|7|8|9
21,0.88,00:00,12,12,0,2,8,0,2,1|10|12|19|2|3|4|5|6|7|8|9
22,0.93,00:00,12,12,0,2,8,0,2,1|10|12|19|2|3|4|5|6|7|8|9
23,0.97,00:00,13,13,0,2,9,0,2,1|10|12|19|2|22|3|4|5|6|7|8|9
24,1.01,00:01,12,12,0,2,8,0,2,1|10|12|2|22|3|4|5|6|7|8|9
25,1.05,00:01,11,11,0,2,8,0,1,1|10|2|22|3|4|5|6|7|8|9
26,1.09,00:01,11,11,0,2,8,0,1,1|10|2|22|3|4|5|6|7|8|9
27,1.14,00:01,11,11,0,2,8,0,1,1|10|2|22|3|4|5|6|7|8|9
28,1.18,00:01,12,12,0,3,8,0,1,1|10|2|22|29|3|4|5|6|7|8|9
29,1.22,00:01,12,12,0,3,8,0,1,1|10|2|22|29|3|4|5|6|7|8|9
30,1.26,00:01,12,12,0,3,8,0,1,1|10|2|22|29|3|4|5|6|7|8|9
31,1.31,00:01,12,12,0,3,8,0,1,1|10|2|22|29|3|4|5|6|7|8|9
32,1.35,00:01,12,12,0,3,8,0,1,1|10|2|22|29|3|4|5|6|7|8|9
33,1.39,00:01,12,12,0,3,8,0,1,1|10|2|22|29|3|4|5|6|7|8|9
34,1.43,00:01,13,13,0,3,9,0,1,1|10|2|22|29|3|37|4|5|6|7|8|9
35,1.47,00:01,13,13,0,3,9,0,1,1|10|2|22|29|3|37|4|5|6|7|8|9
36,1.52,00:01,13,13,0,3,9,0,1,1|10|2|22|29|3|37|4|5|6|7|8|9
37,1.56,00:01,13,13,0,3,9,0,1,1|10|2|22|29|3|37|4|5|6|7|8|9
38,1.6,00:01,13,13,0,3,9,0,1,1|10|2|22|29|3|37|4|5|6|7|8|9
39,1.64,00:01,13,13,0,3,9,0,1,1|10|2|22|29|3|37|4|5|6|7|8|9
40,1.68,00:01,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
41,1.73,00:01,13,13,0,3,8,0,2,1|10|12|2|22|29|3|4|5|6|7|8|9
42,1.77,00:01,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
43,1.81,00:01,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
44,1.85,00:01,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
45,1.89,00:01,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
46,1.94,00:01,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
47,1.98,00:01,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
48,2.02,00:02,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
49,2.06,00:02,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
50,2.11,00:02,12,12,0,3,8,0,1,1|10|12|2|22|29|3|4|5|6|8|9
51,2.15,00:02,13,13,0,3,8,0,2,1|10|12|2|22|29|3|4|5|6|7|8|9
52,2.19,00:02,13,13,0,3,8,0,2,1|10|12|2|22|29|3|4|5|6|7|8|9
53,2.23,00:02,13,13,0,3,8,0,2,1|10|12|2|22|29|3|4|5|6|7|8|9
54,2.27,00:02,13,13,0,3,8,0,2,1|10|12|2|22|29|3|4|5|6|7|8|9
55,2.32,00:02,14,14,0,3,9,0,2,1|10|12|2|22|29|3|4|5|51|6|7|8|9
56,2.36,00:02,14,14,0,3,9,0,2,1|10|12|2|22|29|3|4|5|51|6|7|8|9
57,2.4,00:02,14,14,0,3,9,0,2,1|10|12|2|22|29|3|4|5|51|6|7|8|9
58,2.44,00:02,14,14,0,3,9,0,2,1|10|12|2|22|29|3|4|5|51|6|7|8|9
59,2.48,00:02,14,14,0,3,9,0,2,1|10|12|2|22|29|3|4|5|51|6|7|8|9
60,2.53,00:02,14,14,0,3,9,0,2,1|10|12|2|22|29|3|4|5|51|6|7|8|9
61,2.57,00:02,15,15,0,3,10,0,2,1|10|12|2|22|29|3|4|5|51|6|60|7|8|9
62,2.61,00:02,15,15,0,3,10,0,2,1|10|12|2|22|29|3|4|5|51|6|60|7|8|9
63,2.65,00:02,16,16,0,4,10,0,2,1|10|12|2|22|29|3|4|5|51|6|60|63|7|8|9
64,2.69,00:02,16,16,0,4,10,0,2,1|10|12|2|22|29|3|4|5|51|6|60|63|7|8|9
65,2.74,00:02,16,16,0,4,10,0,2,1|10|12|2|22|29|3|4|5|51|6|60|63|7|8|9
66,2.78,00:02,15,15,0,4,10,0,1,1|10|2|22|29|3|4|5|51|6|60|63|7|8|9
67,2.82,00:02,15,15,0,4,10,0,1,1|10|2|22|29|3|4|5|51|6|60|63|7|8|9
68,2.86,00:02,15,15,0,4,10,0,1,1|10|2|22|29|3|4|5|51|6|60|63|7|8|9
69,2.91,00:02,15,15,0,4,10,0,1,1|10|2|22|29|3|4|5|51|6|60|63|7|8|9
70,2.95,00:02,15,15,0,4,9,0,2,1|10|12|2|22|29|3|4|5|51|6|63|7|8|9
71,2.99,00:02,15,15,0,4,9,0,2,1|10|12|2|22|29|3|4|5|51|6|63|7|8|9
72,3.03,00:03,15,15,0,4,9,0,2,1|10|12|2|22|29|3|4|5|51|6|63|7|8|9
73,3.07,00:03,13,13,0,3,9,0,1,1|10|2|22|3|4|5|51|6|63|7|8|9
74,3.12,00:03,13,13,0,3,9,0,1,1|10|2|22|3|4|5|51|6|63|7|8|9
75,3.16,00:03,14,14,0,3,9,0,2,1|10|12|2|22|3|4|5|51|6|63|7|8|9
76,3.2,00:03,13,13,0,3,8,0,2,1|10|12|2|3|4|5|51|6|63|7|8|9
77,3.24,00:03,12,12,0,3,8,0,1,1|10|12|2|3|4|5|51|6|63|8|9
78,3.28,00:03,12,12,0,3,8,0,1,1|10|12|2|3|4|5|51|6|63|8|9
79,3.33,00:03,13,13,0,3,9,0,1,1|10|12|2|3|4|5|51|6|60|63|8|9
