trajectory_cluster,source,class,vehicle_count,track_ids
-1,main,bus,2,3048|8498
-1,main,car,37,196|264|273|1693|1708|1761|1797|1798|2290|5231|5308|5417|5580|6440|6944|8482|8500|9480|9543|9608|9837|10443|10446|10493|10730|11172|12832|12842|13044|13226|13417|13784|15272|15655|15692|15952|16930
-1,main,motorcycle,29,165|2035|2690|2695|2836|3061|3073|3537|5200|5564|5617|5636|5640|5665|5696|5858|5868|6959|8915|9365|11008|12979|13848|14223|14268|14400|15435|15551|15905
-1,main,truck,9,1819|4330|5242|5293|11215|11714|13081|13114|15976
-1,roi_backup,motorcycle,1,roi_5878
-1,roi_backup,truck,8,roi_171|roi_1834|roi_3208|roi_4254|roi_7034|roi_7051|roi_7836|roi_9220
0,main,bus,6,392|1654|2512|8212|11870|16114
0,main,car,354,9|164|171|206|219|228|244|257|265|266|271|291|341|350|355|373|447|644|1035|1101|1135|1286|1343|1378|1391|1396|1400|1430|1483|1501|1512|1518|1554|1558|1586|1601|1628|1665|1668|1673|1709|1818|2067|2284|2312|2458|2800|2822|2870|2925|3277|3280|3284|3770|3937|4114|4293|4310|4328|4335|4345|4357|4361|4373|4393|4406|4407|4433|4457|4463|4471|4489|4505|4508|4544|4561|4596|4600|4668|4669|4670|4685|4704|4707|4712|4733|4773|4928|4935|4945|4966|4973|4982|5013|5038|5046|5055|5056|5067|5071|5073|5098|5153|5162|5170|5241|5289|5329|5364|5411|5414|5438|5442|5460|5486|5522|5600|5625|5770|5856|5923|5961|6013|6064|6126|6190|6246|6297|6360|6394|6712|6796|7047|7170|7200|7226|7264|7275|7306|7312|7333|7344|7345|7349|7353|7372|7379|7384|7389|7403|7405|7414|7418|7428|7434|7477|7559|7639|7653|7762|7769|7797|7814|7823|7831|7832|7833|7835|7862|7870|7886|7887|7907|7931|7956|7991|8005|8069|8192|8253|8321|8360|8760|9028|9033|9076|9119|9166|9192|9441|9531|9565|9583|9669|9684|9733|9754|9767|9807|9836|9842|9857|9865|9871|9877|9878|9930|10010|10098|10163|10170|10187|10194|10195|10221|10223|10242|10254|10256|10291|10380|10405|10410|10435|10445|10448|10483|10490|10497|10523|10539|10603|10629|10658|10691|10711|10830|10861|10999|11179|11247|11630|11642|11644|11674|11711|11712|11738|11740|11756|11763|11777|11836|11916|11933|11940|12003|12043|12244|12265|12291|12375|12402|12460|12470|12501|12539|12622|12630|12679|12683|12699|12711|12728|12738|12744|12745|12849|12902|13079|13121|13156|13189|13230|13238|13267|13286|13327|13339|13365|13398|13432|13454|13462|13496|13523|13570|13575|13594|13622|13634|13802|14256|14481|14517|14532|14580|14581|14582|14634|14661|14704|14750|14752|14779|14802|14807|14856|14866|14981|15009|15023|15024|15029|15034|15040|15048|15062|15084|15088|15212|15217|15218|15234|15539|15584|15645|15657|15660|15668|15674|15717|15797|15838|15862|15879|15884|15916|15955|16033|16073|16164|16741|16755
0,main,motorcycle,561,1|2|3|4|5|6|22|101|103|106|111|121|122|129|136|141|147|448|449|531|571|576|577|581|598|607|661|662|689|707|709|744|829|859|862|884|935|972|1000|1001|1017|1059|1062|1063|1064|1094|1103|1123|1137|1186|1282|1292|1311|1349|1363|1364|1373|1412|1416|1423|1440|1493|1522|1555|1852|1859|1898|1905|1914|1917|1921|1922|1928|1953|1957|1970|1976|1989|2006|2007|2010|2022|2023|2033|2042|2044|2059|2086|2119|2131|2141|2144|2178|2179|2183|2207|2208|2211|2220|2252|2256|2259|2268|2288|2292|2302|2304|2313|2314|2318|2320|2327|2340|2343|2344|2347|2348|2360|2384|2404|2420|2438|2444|2445|2462|2463|2464|2472|2505|2566|2598|2610|2640|2659|2670|2678|2685|2691|2712|2715|2734|2762|2791|2853|2961|3160|3176|3293|3402|3795|3803|3873|3953|3957|3958|3981|3987|4148|4255|4266|4279|4296|4301|4302|4304|4485|4531|4582|4628|4654|4734|4776|4793|4809|4881|4890|4895|4904|4921|4924|4980|5007|5048|5198|5429|5483|5558|5561|5570|5588|5618|5622|5651|5654|5666|5698|5712|5745|5764|5799|5805|5808|5812|5815|5818|5847|5973|6080|6091|6096|6356|6442|6443|6448|6479|6522|6565|6576|6757|6862|6867|6869|6878|6880|6890|6905|6910|6928|6940|6948|6952|6964|6970|6979|6986|6988|6990|7021|7034|7045|7063|7086|7087|7146|7147|7188|7201|7236|7300|7476|7490|7536|7548|7585|7592|7597|7602|7641|7669|7695|7785|7819|7915|7946|7948|7989|8152|8154|8156|8166|8219|8327|8363|8569|8599|8761|8763|8766|8769|8770|8782|8809|8824|8827|8828|8854|8859|8870|8958|8968|9034|9203|9243|9271|9307|9333|9338|9390|9404|9410|9411|9417|9418|9433|9448|9449|9454|9461|9519|9520|9532|9534|9598|9612|9626|9640|9835|9901|9909|9977|10006|10011|10031|10042|10055|10060|10075|10088|10146|10156|10181|10351|10544|10549|10586|10619|10672|10745|10787|10814|11373|11408|11413|11445|11454|11468|11480|11488|11502|11506|11508|11509|11518|11524|11559|11570|11573|11591|11596|11605|11613|11621|11629|11634|11653|11670|11818|11855|11875|11906|11925|11926|11954|11969|11987|12009|12027|12068|12107|12143|12159|12174|12177|12201|12211|12222|12252|12276|12299|12335|12386|12396|12403|12412|12428|12429|12443|12447|12458|12472|12489|12491|12505|12552|12601|12606|12607|12617|12655|12725|12892|12912|12925|12939|12944|12949|12961|12968|12980|12982|12996|13021|13029|13034|13037|13041|13049|13059|13067|13072|13102|13113|13115|13122|13125|13128|13188|13261|13446|13487|13526|13535|13559|13586|13599|13644|13677|13789|13816|13829|13856|13883|13917|14029|14071|14130|14165|14178|14202|14215|14221|14222|14246|14257|14267|14278|14280|14281|14289|14301|14313|14314|14336|14337|14340|14352|14367|14387|14412|14433|14451|14467|14480|14500|14515|14538|14553|14556|14716|14734|14771|14772|14804|14827|14832|14904|14909|14962|15044|15109|15123|15126|15173|15182|15249|15276|15301|15303|15305|15306|15310|15313|15315|15319|15322|15325|15335|15340|15344|15349|15359|15360|15365|15368|15380|15383|15402|15406|15407|15424|15432|15448|15456|15471|15472|15484|15487|15511|15543|15553|15558|15568|15578|15587|15600|15603|15605|15609|15632|15656|15689|15889|16345|16469|16544|16574|16592|16595|16624|16714|16753
0,main,truck,34,218|336|377|599|1399|1432|1461|1482|1643|1710|4513|4681|5064|5309|5351|7447|7663|9584|9653|9755|10212|10216|11704|11801|11824|11843|11909|11934|14331|14422|14584|15757|15810|15966
