track_id,source,class,origin,destination,first_t,last_t,first_x,first_y,last_x,last_y,max_motion_ratio,track_points,counted_lines,trajectory_cluster
roi_1,roi_backup,motorcycle,,,0.0,0.42,487.26,255.77,482.05,253.69,0.0,11,,-1
roi_2,roi_backup,bus,,,0.0,1.05,1014.76,179.5,1013.95,178.46,0.0,25,,-1
1,main,motorcycle,,,0.0,6.36,177.06,297.94,20.91,342.16,0.261,152,,0
2,main,motorcycle,,,0.0,7.41,387.92,258.4,224.39,354.58,0.221,177,,0
3,main,motorcycle,,,0.0,5.6,132.35,298.02,82.22,306.81,0.287,133,,0
4,main,motorcycle,,,0.0,7.96,353.38,299.65,17.33,449.46,0.427,190,,0
5,main,motorcycle,,,0.0,6.95,261.58,298.98,40.69,374.87,0.294,163,,0
6,main,motorcycle,,,0.0,9.6,436.93,256.9,26.97,431.69,0.396,209,,0
7,main,truck,,,0.0,10.86,1011.92,178.9,1014.59,178.6,0.0,168,,-1
8,main,motorcycle,,,0.0,4.67,304.81,298.74,300.06,298.54,0.04,112,,-1
9,main,car,,,0.0,12.8,491.04,234.94,27.74,551.27,0.608,302,,0
10,main,car,,,0.0,77.35,561.55,160.24,558.18,162.97,0.016,1810,,-1
12,main,truck,,,0.17,7.28,1014.67,178.75,1013.12,178.18,0.0,102,,-1
19,main,motorcycle,,,0.46,0.97,482.42,253.87,484.71,254.16,0.0,13,,-1
roi_3,roi_backup,motorcycle,,,0.88,0.93,1247.55,288.46,1247.47,288.47,0.0,2,,-1
22,main,motorcycle,,,0.97,8.08,487.05,260.87,55.87,505.17,0.172,160,,0
29,main,car,,,1.18,6.11,540.5,165.09,541.21,165.15,0.0,79,,-1
roi_4,roi_backup,motorcycle,,,1.43,1.68,300.51,245.68,300.64,245.67,0.0,6,,-1
37,main,motorcycle,,,1.43,1.64,352.36,255.01,352.08,255.39,0.0,6,,-1
roi_5,roi_backup,bus,,,1.89,3.75,1013.7,178.34,1014.21,177.66,0.0,39,,-1
roi_6,roi_backup,motorcycle,,,2.23,2.23,321.79,254.68,311.44,249.83,0.0,2,,-1
51,main,motorcycle,,,2.32,3.45,483.3,254.19,481.25,254.01,0.0,28,,-1
60,main,motorcycle,,,2.57,4.55,1187.64,261.65,1187.85,257.81,0.0,39,,-1
63,main,car,,,2.65,4.46,498.82,223.07,494.99,225.97,0.04,37,,-1
roi_7,roi_backup,motorcycle,,,3.16,3.16,300.14,246.29,300.14,246.29,0.0,1,,-1
roi_8,roi_backup,motorcycle,,,3.54,4.0,321.83,254.85,314.44,251.03,0.0,23,,-1
roi_9,roi_backup,motorcycle,,,3.96,4.13,480.27,256.72,477.71,256.88,0.018,7,,-1
roi_10,roi_backup,car,,,4.34,4.42,542.06,165.24,542.24,165.29,0.0,3,,-1
roi_11,roi_backup,truck,,,4.59,4.97,1014.19,177.53,1014.17,177.85,0.0,6,,-1
91,main,motorcycle,,,4.59,5.81,307.14,298.12,280.02,305.4,0.223,30,,-1
roi_12,roi_backup,motorcycle,,,4.72,4.84,296.71,303.51,298.62,265.3,0.062,4,,-1
96,main,motorcycle,,,4.93,5.09,299.4,245.89,299.26,244.93,0.0,5,,-1
roi_13,roi_backup,car,,,4.97,5.05,541.61,165.46,541.56,165.52,0.0,3,,-1
roi_14,roi_backup,motorcycle,,,5.43,5.43,98.83,301.96,93.51,303.5,0.228,2,,-1
101,main,motorcycle,,,5.47,6.65,257.71,257.31,220.37,270.94,0.274,26,,0
roi_15,roi_backup,motorcycle,,,5.52,5.52,99.06,301.99,99.06,301.99,0.257,1,,-1
103,main,motorcycle,,,5.6,8.51,329.0,264.32,25.18,377.29,0.274,69,,0
roi_16,roi_backup,truck,,,5.64,6.15,555.66,223.62,554.66,231.38,0.007,9,,-1
roi_17,roi_backup,motorcycle,,,5.73,6.78,84.28,302.0,9.24,301.91,0.892,15,B_left_exit,0
roi_18,roi_backup,car,,,5.73,5.73,404.88,235.65,404.88,235.65,0.0,1,,-1
roi_19,roi_backup,motorcycle,,,5.73,5.73,152.85,270.35,152.85,270.35,0.151,1,,-1
104,main,motorcycle,,,5.81,5.81,186.34,320.57,186.34,320.57,0.119,1,,-1
roi_20,roi_backup,motorcycle,,,6.06,6.69,270.34,273.2,223.48,305.62,0.414,27,,0
roi_21,roi_backup,car,,,6.11,6.11,476.16,216.05,476.16,216.05,0.0,1,,-1
roi_22,roi_backup,motorcycle,,,6.15,6.15,422.35,259.71,422.35,259.71,0.05,1,,-1
roi_23,roi_backup,truck,,,6.32,7.07,486.6,238.11,475.12,212.74,0.06,6,,-1
roi_24,roi_backup,motorcycle,,,6.32,6.99,148.74,324.0,29.68,323.88,0.439,19,B_left_exit,0
106,main,motorcycle,,,6.32,6.78,41.11,317.14,7.57,329.23,0.4,12,,0
roi_25,roi_backup,car,,,6.44,6.44,542.25,165.7,542.25,165.7,0.0,1,,-1
111,main,motorcycle,,,6.44,6.99,116.67,348.38,28.56,385.85,0.276,14,,0
roi_26,roi_backup,motorcycle,,,6.48,6.69,310.31,251.58,308.06,255.4,0.153,6,,-1
roi_27,roi_backup,motorcycle,,,6.74,6.78,212.89,291.12,214.54,295.13,0.203,2,,-1
121,main,motorcycle,,,6.74,10.44,306.33,256.25,20.59,342.81,0.21,86,,0
122,main,motorcycle,,,6.74,7.41,234.19,317.63,157.23,341.48,0.15,13,,0
roi_28,roi_backup,motorcycle,,,6.78,7.49,348.66,301.99,225.06,324.0,0.3,12,,0
